dateTime,buysRatio,markPrice,sellsRatio
12/02/2020 10:23:34,0,302.695,0.010484056434920857
12/02/2020 10:23:39,0.007954560224599347,302.77,0.0004895409574442045
12/02/2020 10:23:49,0.006280691689536034,302.785,0
12/02/2020 10:23:59,0.012779287142400895,302.73,0.0013436646213105209
12/02/2020 10:24:06,0.015348495422256936,302.74,0
12/02/2020 10:24:18,0.016131294009235055,302.705,0.0008991053237664984
12/02/2020 10:24:25,0.026058681033702895,302.69,0.005043666164973649
12/02/2020 10:24:33,0.019905841255182244,302.68,0.006060821589327264
12/02/2020 10:24:37,0.0058285248003730255,302.605,0.02604840102811615
12/02/2020 10:24:45,0.007440450056491222,302.645,0.017041945634379933
12/02/2020 10:24:53,0,302.575,0.025354907862034103
12/02/2020 10:25:01,0,302.57,0.02384390471407046
12/02/2020 10:25:09,0.008703601424571961,302.67,0.012227679485032837
12/02/2020 10:25:17,0.001937721626911078,302.73,0.01129306734855707
12/02/2020 10:25:25,0.0023330361715445456,302.70,0.011756854113351985
12/02/2020 10:25:31,0.0006218170738532139,302.765,0.021584635518230588
12/02/2020 10:25:39,0,302.74,0.02192061752681216
12/02/2020 10:25:49,0.007918192176664179,302.825,0.01940087129954965
12/02/2020 10:25:56,0.008483180665671691,302.865,0.015227048151478195
12/02/2020 10:26:03,0.025004233222328837,302.895,0.005845652771609247
12/02/2020 10:26:08,0,302.765,0.02174298076193207
12/02/2020 10:26:16,0.012101228258181518,302.885,0.013608870967741936
12/02/2020 10:26:25,0.0038331331222015946,302.88,0.0032171296826201414
12/02/2020 10:26:33,0.004292052727867762,302.87,0.00265911890176758
12/02/2020 10:26:41,0.01434443502362642,302.90,0
12/02/2020 10:26:49,0.010153556878721404,302.89,0.0019011823251372224
12/02/2020 10:26:58,0.016945137838675,302.86,0.0020569531635837826
12/02/2020 10:27:07,0.01356097807501495,302.86,0.0026089792368735733
12/02/2020 10:27:16,0,302.825,0.015480728284916027
12/02/2020 10:27:24,0.0004529724049210922,302.87,0.005960793953173969
12/02/2020 10:27:33,0.0004932352781600351,302.89,0.01226368439774768
12/02/2020 10:27:47,0,302.87,0.012403316012851533
12/02/2020 10:27:55,0.009611133537089365,302.985,0.010574283770041822
12/02/2020 10:28:02,0,302.935,0.014553338728958917
12/02/2020 10:28:15,0,302.995,0.012964356703139775
12/02/2020 10:28:32,0.008321544478655239,303.035,0.010110934894548658
12/02/2020 10:28:35,0.008450406675821275,303.035,0.010063383082154537
12/02/2020 10:28:37,0.004087054255645243,303.055,0.00897577364581103
12/02/2020 10:28:40,0.0013336711967031649,303.035,0.011990600656666453
12/02/2020 10:28:43,0.00168677375019089,303.01,0.012252756870295816
12/02/2020 10:28:44,0,303.005,0.013240520854916086
12/02/2020 10:28:49,0.011996553312237227,303.045,0.009029953305636195
12/02/2020 10:28:53,0.01457802354760298,303.09,0.017736871867870443
12/02/2020 10:28:54,0.013812430521810326,303.08,0.008750521820108539
12/02/2020 10:28:57,0.007570467345833306,303.025,0.012491651618967523
12/02/2020 10:29:00,0.027442022390931246,303.105,0.008747771201834939
12/02/2020 10:29:01,0.012004108748108214,303.10,0.008721852204249921
12/02/2020 10:29:03,0.032577543772565845,303.145,0
12/02/2020 10:29:07,0.012545496317972407,303.095,0.008037748264387778
12/02/2020 10:29:11,0.05702227671030107,303.105,0.008337581323817834
12/02/2020 10:29:18,0.05628171527351809,303.105,0.0018049808446407862
12/02/2020 10:29:19,0.05572240931927345,303.12,0
12/02/2020 10:29:26,0.054871220604703244,303.055,0
12/02/2020 10:29:28,0.053836703883327494,303.045,0
12/02/2020 10:29:37,0.046813042847785105,303.005,0
12/02/2020 10:29:39,0.052841956363324616,302.97,0
12/02/2020 10:29:46,0.046966633723467766,302.965,0.002855788397502899
12/02/2020 10:29:48,0.04936843312571996,302.94,0.0005690904227772751
12/02/2020 10:29:58,0.01940950702090649,302.91,0
12/02/2020 10:29:58,0.01940950702090649,302.91,0
12/02/2020 10:30:04,0.016939638391685,302.83,0.01669990029910269
12/02/2020 10:30:05,0.014850986248408169,302.82,0.02089012071374579
12/02/2020 10:30:14,0.011926058437686345,302.87,0.004889442856853327
12/02/2020 10:30:15,0.008424098869188611,302.83,0.014554196934053718
12/02/2020 10:30:19,0,302.79,0.014352443829753921
12/02/2020 10:30:24,0,302.79,0.019161023877906122
12/02/2020 10:30:30,0.007067075379192763,302.83,0.015027180876876352
12/02/2020 10:30:32,0.0021626110500774214,302.84,0.015310307117470154
12/02/2020 10:30:36,0,302.825,0.019053289669544508
12/02/2020 10:30:42,0.0040933111202983204,302.83,0.014456114155793474
12/02/2020 10:30:43,0.0029118015316076055,302.845,0.015095993207898556
12/02/2020 10:30:51,0.012930194805194806,302.88,0.018738309432617797
12/02/2020 10:30:56,0.0027037466203167246,302.845,0.03479418986972989
12/02/2020 10:30:59,0.00038226299694189603,302.83,0.03884910754554947
12/02/2020 10:31:05,0.0014825796886582653,302.895,0.024470532243991434
12/02/2020 10:31:10,0.017482394366197182,302.95,0
12/02/2020 10:31:15,0.018600981767180925,302.945,0.0026955086087806193
12/02/2020 10:31:16,0.011464857341684063,302.92,0.020712948644909253
12/02/2020 10:31:22,0.001983326832428716,302.90,0.035101207598191915
12/02/2020 10:31:23,0.005768939319060892,302.905,0.029832523820898692
12/02/2020 10:31:30,0.0003264538622756446,302.855,0.05647159833746366
12/02/2020 10:31:32,0.00032172754824304586,302.85,0.05572405741189609
12/02/2020 10:31:38,0.0010825915576364344,302.905,0.044312500803228336
